"SALES 
PERSON",COMPANY NAME," INVOICE
AMOUNT ","INVOICE 
NUMBER",SALES REMARK,CLAIM STATUS,HRDF GRANT ID,HRDF TRAINING DATE,HRDF CLAIM ID,
JIA JUN,FOUNDER ENERGY SDN. BHD.," RM8,861.40 ",EIN2407-0036,ONE BATCH ,RECEIVED,1414006X_24_0037,16/07/2024   To :  18/07/2024,C832542SBL_24_1627922,
TAMY,TENAGA WAN FOONG SDN BHD," RM4,665.60 ",EIN2407-0154,ONE BATCH ,RECEIVED,276652X_24_0012,16/07/2024   To :  18/07/2024,C832542SBL_24_1642552,
EDWARD,VINTEK SPARE PARTS SDN. BHD.," RM5,297.40 ",EIN2407-0147,ONE BATCH ,RECEIVED,813737D_24_0008,30/07/2024 to 01/08/2024,C832542SBL_24_1657214,
JONATHAN,BHL CONSULTANTS P & F SDN. BHD.," RM9,331.20 ",EIN2407-0225,BATCH 1,RECEIVED,227279A_24_0010,06/08/2024 to 08/08/2024,C832542SBL_24_1704197,
JONATHAN,BHL CONSULTANTS P & F SDN. BHD.," RM9,331.20 ",EIN2407-0226,BATCH 2,RECEIVED,227279A_24_0011,13/08/2024 to 15/08/2024,C832542SBL_24_1704502,
MUIM,K & L FARMING INDUSTRIES SDN. BHD.," RM13,925.52 ",EIN2407-0250,BATCH 1,RECEIVED,291955M_24_0024,06/08/2024 to 08/08/2024,C832542SBL_24_1701857,
MUIM,K & L FARMING INDUSTRIES SDN. BHD.," RM13,925.52 ",EIN2407-0254 ,BATCH 2,RECEIVED,291955M_24_0025,13/08/2024 to 15/08/2024,C832542SBL_24_1702078,
MUIM,K & L FARMING INDUSTRIES SDN. BHD.," RM13,925.52 ",EIN2407-0256,BATCH 3,RECEIVED,291955M_24_0027,20/08/2024 to 21/08/2024,C832542SBL_24_1702159,
MUIM,K & L FARMING INDUSTRIES SDN. BHD.," RM13,925.52 ",EIN2407-0257,BATCH 4,RECEIVED,291955M_24_0028,27/08/2024 to 29/08/2024,C832542SBL_24_1702215,
MUIM,K & L FARMING INDUSTRIES SDN. BHD.," RM13,925.52 ",EIN2407-0258,BATCH 5,RECEIVED,291955M_24_0032,03/09/2024   To :  05/09/2024,C832542SBL_24_1710108,
MUIM,K & L FARMING INDUSTRIES SDN. BHD.," RM13,925.52 ",EIN2407-0259,BATCH 6,RECEIVED,291955M_24_0033,10/09/2024   To :  12/09/2024,C832542SBL_24_1723535,
FATIMAH,UNIQUE EATS SDN. BHD.," RM7,581.60 ",EIN2408-0048,BATCH 1,RECEIVED,1117930M_24_0007,20/08/2024 to 22/08/2024,C832542SBL_24_1694380,
FATIMAH,REGION SYSTEMS SDN. BHD.," RM12,972.96 ",EIN2408-0052,ONE BATCH ,RECEIVED,179139H_24_0042,20/08/2024 to 22/08/2024,C832542SBL_24_1694785,
EDWARD,TMI CONTAINER LINE SDN BHD," RM3,240.00 ",EIN2408-0050,ONE BATCH ,RECEIVED,982563P_24_0003,06/08/2024 to 08/08/2024,C832542SBL_24_1670810,
EDWARD,BH BERSATU BINA SDN BHD," RM14,628.60 ",EIN2408-0072,BATCH 1,RECEIVED,907611T_24_0035,20/08/2024 to 22/08/2024,C832542SBL_24_1691205,
EDWARD,BH BERSATU BINA SDN BHD," RM7,218.72 ",EIN2408-0073,BATCH 2,RECEIVED,907611T_24_0036,27/08/2024 to 29/08/2024,C832542SBL_24_1705940,
MUIM,SHIMIZU CORPORATION MALAYSIA," RM8,346.24 ",EIN2408-0069,BATCH 1,RECEIVED,993301U_24_0039,20/08/2024   To :  22/08/2024,C832542SBL_24_1701286,
MUIM,SHIMIZU CORPORATION MALAYSIA," RM8,346.24 ",EIN2408-0070,BATCH 2,RECEIVED,993301U_24_0040,27/08/2024   To :  29/08/2024,C832542SBL_24_1701703,
JIA JUN,ST TIEW DENTAL GROUP SDN BHD," RM10,108.80 ",EIN2408-0143,BATCH 1,RECEIVED,468265X_24_0005,10/09/2024  To 12/09/2024,C832542SBL_24_1719916,
JIA JUN,ST TIEW DENTAL GROUP SDN BHD," RM10,108.80 ",EIN2408-0144,BATCH 2,RECEIVED,468265X_24_0007,24/09/2024   To :  26/09/2024,C832542SBL_24_1747602,
YASMIN,FOCUS POINT VISION CARE GROUP," RM6,045.84 ",EIN2408-0142,BATCH 1,RECEIVED,268471X_24_0119,20/08/2024 to 22/08/2024,C832542SBL_24_1702503,
JIA JUN,GOH AH LEK PLASTERING SDN BHD," RM4,988.00 ",EIN2408-0066,ONE BATCH ,RECEIVED,858953D_24_0012,27/08/2024  To  29/08/2024,C832542SBL_24_1702569,
MUIM,INTERNATIONAL AERO TRAINING ACADEMY SDN BHD," RM10,808.64 ",EIN2409-0039,ONE BATCH ,RECEIVED,200601036154_24_0050,05/11/2024 To : 07/11/2024,C832542SBL_24_1723581,
FATIMAH,AYAM WIRA FOOD PROCESSING SDN BHD," RM8,035.20 ",EIN2409-0055,BATCH 1,RECEIVED,511714X_24_0014,10/09/2024   To :  12/09/2024,C832542SBL_24_1719890,
JIA JUN,OLIO RESOURCES SDN. BHD.," RM3,207.60 ",EIN2409-0099,ONE BATCH ,RECEIVED,343707U_24_0030,10/09/2024   To :  12/09/2024,C832542SBL_24_1735681,
FATIMAH,AYAM WIRA FOOD PROCESSING SDN BHD," RM8,035.20 ",EIN2409-0056,BATCH 2,RECEIVED,511714X_24_0015,24/09/2024   To :  26/09/2024,C832542SBL_24_1751132,
FATIMAH,SRI SEGAR FOOD CORPORATION SDN BHD," RM13,925.52 ",EIN2409-0168,ONE BATCH ,RECEIVED,99781W_24_0035,24/09/2024   To :  26/09/2024,C832542SBL_24_1755915,
EDWARD,UNIVERSAL TRAVELLER SHOP SDN BHD," RM9,153.00 ",EIN2409-0207,BATCH 1,RECEIVED,198083W_24_0020,24/09/2024   To :  26/09/2024,C832542SBL_24_1745696,
EDWARD,UNIVERSAL TRAVELLER SHOP SDN BHD," RM9,153.00 ",EIN2409-0208,BATCH 2,RECEIVED,198083W_24_0021,01/10/2024  To : 03/10/2024,C832542SBL_24_1767860,
YASMIN,PETROCLAMP SDN BHD," RM3,946.32 ",EIN2409-0312,ONE BATCH ,RECEIVED,824281K_24_0053,01/10/2024  To : 03/10/2024,C832542SBL_24_1770104,
YASMIN,AQUARIS OFFSHORE SDN BHD," RM8,359.20 ",EIN2409-0314,ONE BATCH ,RECEIVED,951127K_24_0037,01/10/2024  To : 03/10/2024,C832542SBL_24_1765038,
YASMIN,ETAGREEN BIOMASS ENERGY SDN BHD," RM9,995.40 ",EIN2410-0078,ONE BATCH ,RECEIVED,820906T_24_0042,28/10/2024   To :  30/10/2024,C832542SBL_24_1807642,
SULAIMAN,RAMLI SECURITY SDN BHD," RM13,267.80 ",EIN2410-0077,ONE BATCH ,RECEIVED,880741U_24_0080,15/10/2024 To : 17/10/2024,C832542SBL_24_1809727,
SULAIMAN,LEPPO CONCRETE SDN BHD," RM30,000.00 ",EIN2403-0012,BATCH 1,RECEIVED,586495K_24_0006,01/07/2024 To : 05/07/2024,C832542SBL_24_1715981,
SULAIMAN,LEPPO CONCRETE SDN BHD," RM14,837.28 ",EIN2403-0046,BATCH 2,RECEIVED,586495K_24_0007,10/07/2024 To : 12/07/2024,C832542SBL_24_1736279,
EDWARD,LESYDEAR AUTOMOBILE SDN BHD," RM11,158.56 ",EIN2410-0139,BATCH 1,RECEIVED,"567517P_24_0004, ",28/10/2024   To :  30/10/2024,C832542SBL_24_1833296,
EDWARD,LESYDEAR AUTOMOBILE SDN BHD," RM11,158.56 ",EIN2410-0140,BATCH 2,RECEIVED,567517P_24_0005,05/11/2024   To :  07/11/2024,C832542SBL_24_1833641,
YASMIN,ESSTAR VISION SDN BHD," RM10,854.82 ",EIN2403-0271,BATCH 1,RECEIVED,606609H_24_0086,03/04/2024 To : 08/04/2024,C832542SBL_24_1562625,
